backbone,max_score,mean_score,mean_total_tokens,mean_words,median_score,method,method_label,min_score,n,sum_total_tokens
ALL,2.9748661518096924,-0.45748170295357704,4941.571333333333,261.654,-0.37503308057785034,prism,PRISM,-3.720987319946289,1500,7412357
ALL,2.907573699951172,-1.1780997493118048,5916.7446666666665,192.31066666666666,-1.3475197553634644,researchagent_style,ResearchAgent,-4.134860515594482,1500,8875117
ALL,2.728666067123413,-1.1967067924936612,6262.649333333334,188.17933333333335,-1.346958041191101,ai_researcher_style,AI Researcher,-4.187993049621582,1500,9393974
ALL,2.79990291595459,-1.2508142260710398,6436.712666666666,191.16733333333335,-1.3547410368919373,ai_scientist_idea_module,AI Scientist,-4.266455173492432,1500,9655069
ALL,2.9672486782073975,-1.347716917420427,6080.937333333333,189.522,-1.5786725878715515,virsci_full_reproduction,VirSci,-4.029191017150879,1500,9121406
gpt5.4,2.9748661518096924,0.28572276102006433,3361.9,296.518,0.3595770001411438,prism,PRISM,-3.149024248123169,500,1680950
gpt5.4,2.907573699951172,0.006656460836529732,9207.626,223.854,0.15022262930870056,researchagent_style,ResearchAgent,-3.9340925216674805,500,4603813
gpt5.4,2.728666067123413,-0.13922548374533653,9366.674,220.818,-0.016618266701698303,ai_researcher_style,AI Researcher,-3.78548264503479,500,4683337
gpt5.4,2.9672486782073975,-0.25305433946847916,9355.636,219.912,-0.07473384588956833,virsci_full_reproduction,VirSci,-4.029191017150879,500,4677818
gpt5.4,2.79990291595459,-0.25632059268653395,9581.638,224.222,-0.017014607787132263,ai_scientist_idea_module,AI Scientist,-4.266455173492432,500,4790819
llama3.1,1.6641650199890137,-1.1417071336507798,2737.54,244.708,-1.1722142100334167,prism,PRISM,-3.6267635822296143,500,1368770
llama3.1,0.8540735840797424,-2.0599167693704366,4767.472,176.43,-2.065392017364502,ai_researcher_style,AI Researcher,-4.044742584228516,500,2383736
llama3.1,1.14145827293396,-2.118784803956747,5601.038,182.006,-2.2247939109802246,ai_scientist_idea_module,AI Scientist,-4.003389835357666,500,2800519
llama3.1,0.8286412358283997,-2.159447377756238,4434.738,186.454,-2.2553462982177734,researchagent_style,ResearchAgent,-4.017277717590332,500,2217369
llama3.1,1.573753833770752,-2.2228476023823025,4891.328,183.106,-2.3923423290252686,virsci_full_reproduction,VirSci,-3.99399471282959,500,2445664
qwen3-8b,2.3841655254364014,-0.5164607362300158,8725.274,243.736,-0.4009571075439453,prism,PRISM,-3.720987319946289,500,4362637
qwen3-8b,2.1785888671875,-1.3773372815698386,4127.462,167.274,-1.4175243973731995,ai_scientist_idea_module,AI Scientist,-4.017226219177246,500,2063731
qwen3-8b,2.3975062370300293,-1.3815083310157061,4107.87,166.624,-1.4845417737960815,researchagent_style,ResearchAgent,-4.134860515594482,500,2053935
qwen3-8b,1.9835697412490845,-1.3909781243652106,4653.802,167.29,-1.4966655373573303,ai_researcher_style,AI Researcher,-4.187993049621582,500,2326901
qwen3-8b,1.7713801860809326,-1.5672488104104996,3995.848,165.548,-1.7977665066719055,virsci_full_reproduction,VirSci,-3.782169818878174,500,1997924
