backbone,losses,mean_score_diff,method,method_label,n,opponent,opponent_label,ties,win_rate_with_tie_half,wins
ALL,696,0.05410743357737859,ai_researcher_style,AI Researcher,1500,ai_scientist_idea_module,AI Scientist,0,0.536,804
ALL,1193,-0.7392250895400843,ai_researcher_style,AI Researcher,1500,prism,PRISM,0,0.20466666666666666,307
ALL,762,-0.018607043181856475,ai_researcher_style,AI Researcher,1500,researchagent_style,ResearchAgent,0,0.492,738
ALL,663,0.15101012492676577,ai_researcher_style,AI Researcher,1500,virsci_full_reproduction,VirSci,0,0.558,837
ALL,804,-0.05410743357737859,ai_scientist_idea_module,AI Scientist,1500,ai_researcher_style,AI Researcher,0,0.464,696
ALL,1215,-0.7933325231174628,ai_scientist_idea_module,AI Scientist,1500,prism,PRISM,0,0.19,285
ALL,830,-0.07271447675923506,ai_scientist_idea_module,AI Scientist,1500,researchagent_style,ResearchAgent,0,0.44666666666666666,670
ALL,712,0.09690269134938717,ai_scientist_idea_module,AI Scientist,1500,virsci_full_reproduction,VirSci,0,0.5253333333333333,788
ALL,307,0.7392250895400843,prism,PRISM,1500,ai_researcher_style,AI Researcher,0,0.7953333333333333,1193
ALL,285,0.7933325231174628,prism,PRISM,1500,ai_scientist_idea_module,AI Scientist,0,0.81,1215
ALL,336,0.7206180463582277,prism,PRISM,1500,researchagent_style,ResearchAgent,0,0.776,1164
ALL,261,0.89023521446685,prism,PRISM,1500,virsci_full_reproduction,VirSci,0,0.826,1239
ALL,738,0.018607043181856475,researchagent_style,ResearchAgent,1500,ai_researcher_style,AI Researcher,0,0.508,762
ALL,670,0.07271447675923506,researchagent_style,ResearchAgent,1500,ai_scientist_idea_module,AI Scientist,0,0.5533333333333333,830
ALL,1164,-0.7206180463582277,researchagent_style,ResearchAgent,1500,prism,PRISM,0,0.224,336
ALL,652,0.16961716810862223,researchagent_style,ResearchAgent,1500,virsci_full_reproduction,VirSci,0,0.5653333333333334,848
ALL,837,-0.15101012492676577,virsci_full_reproduction,VirSci,1500,ai_researcher_style,AI Researcher,0,0.442,663
ALL,788,-0.09690269134938717,virsci_full_reproduction,VirSci,1500,ai_scientist_idea_module,AI Scientist,0,0.4746666666666667,712
ALL,1239,-0.89023521446685,virsci_full_reproduction,VirSci,1500,prism,PRISM,0,0.174,261
ALL,848,-0.16961716810862223,virsci_full_reproduction,VirSci,1500,researchagent_style,ResearchAgent,0,0.43466666666666665,652
gpt5.4,227,0.1170951089411974,ai_researcher_style,AI Researcher,500,ai_scientist_idea_module,AI Scientist,0,0.546,273
gpt5.4,364,-0.4249482447654009,ai_researcher_style,AI Researcher,500,prism,PRISM,0,0.272,136
gpt5.4,284,-0.14588194458186626,ai_researcher_style,AI Researcher,500,researchagent_style,ResearchAgent,0,0.432,216
gpt5.4,228,0.11382885572314262,ai_researcher_style,AI Researcher,500,virsci_full_reproduction,VirSci,0,0.544,272
gpt5.4,273,-0.1170951089411974,ai_scientist_idea_module,AI Scientist,500,ai_researcher_style,AI Researcher,0,0.454,227
gpt5.4,365,-0.5420433537065983,ai_scientist_idea_module,AI Scientist,500,prism,PRISM,0,0.27,135
gpt5.4,322,-0.26297705352306366,ai_scientist_idea_module,AI Scientist,500,researchagent_style,ResearchAgent,0,0.356,178
gpt5.4,257,-0.0032662532180547715,ai_scientist_idea_module,AI Scientist,500,virsci_full_reproduction,VirSci,0,0.486,243
gpt5.4,136,0.4249482447654009,prism,PRISM,500,ai_researcher_style,AI Researcher,0,0.728,364
gpt5.4,135,0.5420433537065983,prism,PRISM,500,ai_scientist_idea_module,AI Scientist,0,0.73,365
gpt5.4,189,0.2790663001835346,prism,PRISM,500,researchagent_style,ResearchAgent,0,0.622,311
gpt5.4,122,0.5387771004885435,prism,PRISM,500,virsci_full_reproduction,VirSci,0,0.756,378
gpt5.4,216,0.14588194458186626,researchagent_style,ResearchAgent,500,ai_researcher_style,AI Researcher,0,0.568,284
gpt5.4,178,0.26297705352306366,researchagent_style,ResearchAgent,500,ai_scientist_idea_module,AI Scientist,0,0.644,322
gpt5.4,311,-0.2790663001835346,researchagent_style,ResearchAgent,500,prism,PRISM,0,0.378,189
gpt5.4,190,0.25971080030500887,researchagent_style,ResearchAgent,500,virsci_full_reproduction,VirSci,0,0.62,310
gpt5.4,272,-0.11382885572314262,virsci_full_reproduction,VirSci,500,ai_researcher_style,AI Researcher,0,0.456,228
gpt5.4,243,0.0032662532180547715,virsci_full_reproduction,VirSci,500,ai_scientist_idea_module,AI Scientist,0,0.514,257
gpt5.4,378,-0.5387771004885435,virsci_full_reproduction,VirSci,500,prism,PRISM,0,0.244,122
gpt5.4,310,-0.25971080030500887,virsci_full_reproduction,VirSci,500,researchagent_style,ResearchAgent,0,0.38,190
llama3.1,216,0.05886803458631039,ai_researcher_style,AI Researcher,500,ai_scientist_idea_module,AI Scientist,0,0.568,284
llama3.1,413,-0.918209635719657,ai_researcher_style,AI Researcher,500,prism,PRISM,0,0.174,87
llama3.1,222,0.09953060838580131,ai_researcher_style,AI Researcher,500,researchagent_style,ResearchAgent,0,0.556,278
llama3.1,221,0.16293083301186562,ai_researcher_style,AI Researcher,500,virsci_full_reproduction,VirSci,0,0.558,279
llama3.1,284,-0.05886803458631039,ai_scientist_idea_module,AI Scientist,500,ai_researcher_style,AI Researcher,0,0.432,216
llama3.1,427,-0.9770776703059674,ai_scientist_idea_module,AI Scientist,500,prism,PRISM,0,0.146,73
llama3.1,250,0.040662573799490925,ai_scientist_idea_module,AI Scientist,500,researchagent_style,ResearchAgent,0,0.5,250
llama3.1,234,0.10406279842555523,ai_scientist_idea_module,AI Scientist,500,virsci_full_reproduction,VirSci,0,0.532,266
llama3.1,87,0.918209635719657,prism,PRISM,500,ai_researcher_style,AI Researcher,0,0.826,413
llama3.1,73,0.9770776703059674,prism,PRISM,500,ai_scientist_idea_module,AI Scientist,0,0.854,427
llama3.1,65,1.0177402441054582,prism,PRISM,500,researchagent_style,ResearchAgent,0,0.87,435
llama3.1,69,1.0811404687315225,prism,PRISM,500,virsci_full_reproduction,VirSci,0,0.862,431
llama3.1,278,-0.09953060838580131,researchagent_style,ResearchAgent,500,ai_researcher_style,AI Researcher,0,0.444,222
llama3.1,250,-0.040662573799490925,researchagent_style,ResearchAgent,500,ai_scientist_idea_module,AI Scientist,0,0.5,250
llama3.1,435,-1.0177402441054582,researchagent_style,ResearchAgent,500,prism,PRISM,0,0.13,65
llama3.1,229,0.0634002246260643,researchagent_style,ResearchAgent,500,virsci_full_reproduction,VirSci,0,0.542,271
llama3.1,279,-0.16293083301186562,virsci_full_reproduction,VirSci,500,ai_researcher_style,AI Researcher,0,0.442,221
llama3.1,266,-0.10406279842555523,virsci_full_reproduction,VirSci,500,ai_scientist_idea_module,AI Scientist,0,0.468,234
llama3.1,431,-1.0811404687315225,virsci_full_reproduction,VirSci,500,prism,PRISM,0,0.138,69
llama3.1,271,-0.0634002246260643,virsci_full_reproduction,VirSci,500,researchagent_style,ResearchAgent,0,0.458,229
qwen3-8b,253,-0.01364084279537201,ai_researcher_style,AI Researcher,500,ai_scientist_idea_module,AI Scientist,0,0.494,247
qwen3-8b,416,-0.8745173881351948,ai_researcher_style,AI Researcher,500,prism,PRISM,0,0.168,84
